neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,30,0,100,90,29,4,38
6,95,0,95,2,88,1,4
5,105,1,95,2,48,1,310
6,90,0,111,14,63,1,304
2,5,1,35,2,34,4,302
4,2,0,65,2,22,3,333
6,14,1,37,4,5,1,87
7,64,0,146,2,14,2,0
6,55,1,24,2,36,1,330
1,134,0,70,2,216,1,317
4,73,0,69,3,102,1,0
4,73,1,44,100,6,2,9
0,51,0,65,3,122,2,300
5,80,0,75,58,87,4,283
6,97,1,65,1,71,1,345
4,2,0,120,2,168,7,331
5,101,1,24,5,5,1,0
10,110,0,69,1,124,3,350
6,97,0,90,4,63,1,114
10,110,0,59,1,166,3,326
5,101,0,60,1,22,1,225
10,111,1,44,4,25,2,338
1,118,1,48,2,78,1,24
5,101,1,69,1,89,1,52
1,135,1,42,1,35,4,235
4,121,0,29,3,23,1,63
4,121,0,45,3,72,1,294
5,80,0,35,7,7,1,0
1,52,1,44,2,42,1,356
4,121,0,650,1,38,1,337
4,100,0,100,3,155,2,275
10,111,0,85,4,42,1,326
0,129,0,57,62,30,1,204
6,49,1,33,1,8,1,363
1,118,1,27,3,27,5,233
1,118,1,40,3,70,1,205
4,18,0,72,30,4,1,0
10,111,1,38,2,3,2,95
1,32,1,29,3,2,1,336
4,2,0,130,2,65,1,228
1,32,0,100,2,77,1,350
6,97,1,40,2,58,1,334
6,96,0,131,4,136,1,307
10,117,1,25,2,50,3,288
1,115,0,145,3,23,1,308
6,49,1,73,2,36,1,40
6,94,0,145,4,167,2,265
1,118,1,70,2,25,2,7
1,135,1,65,4,10,1,67
6,97,0,75,10,17,1,70
5,101,0,77,3,290,1,270
0,130,0,329,2,14,2,364
0,89,0,60,4,12,2,87
5,101,1,27,3,196,2,130
0,120,0,70,4,115,1,50
6,97,0,92,2,239,1,218
5,102,0,65,3,220,1,73
6,97,0,99,3,13,1,36
4,121,0,75,1,387,2,109
4,18,0,165,3,128,1,344
1,52,1,29,2,122,1,290
1,118,0,89,2,11,1,0
10,69,1,30,3,34,1,316
1,30,0,85,1,359,1,171
1,134,0,120,61,29,2,310
9,132,0,55,3,63,1,257
10,63,1,43,60,5,2,221
0,79,0,44,20,6,1,0
6,98,0,109,3,9,1,35
5,101,0,89,30,38,1,67
